PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35150240","Global burden of heart failure: a comprehensive and updated review of epidemiology","Savarese G, Becher PM, Lund LH, Seferovic P, Rosano GMC, Coats AJS.","Cardiovasc Res. 2023 Jan 18;118(17):3272-3287. doi: 10.1093/cvr/cvac013.","Savarese G","Cardiovasc Res","2023","2022/02/12","","","10.1093/cvr/cvac013"
"36917048","Heart Failure With Preserved Ejection Fraction: A Review","Redfield MM, Borlaug BA.","JAMA. 2023 Mar 14;329(10):827-838. doi: 10.1001/jama.2023.2020.","Redfield MM","JAMA","2023","2023/03/14","","","10.1001/jama.2023.2020"
"36029467","Efficacy and Safety of Dapagliflozin in Heart Failure With Mildly Reduced or Preserved Ejection Fraction According to Age: The DELIVER Trial","Peikert A, Martinez FA, Vaduganathan M, Claggett BL, Kulac IJ, Desai AS, Jhund PS, de Boer RA, DeMets D, Hernandez AF, Inzucchi SE, Kosiborod MN, Lam CSP, Shah SJ, Katova T, Merkely B, Vardeny O, Wilderäng U, Lindholm D, Petersson M, Langkilde AM, McMurray JJV, Solomon SD.","Circ Heart Fail. 2022 Oct;15(10):e010080. doi: 10.1161/CIRCHEARTFAILURE.122.010080. Epub 2022 Aug 27.","Peikert A","Circ Heart Fail","2022","2022/08/27","","","10.1161/CIRCHEARTFAILURE.122.010080"
"37137592","Heart Failure With Preserved Ejection Fraction: JACC Scientific Statement","Borlaug BA, Sharma K, Shah SJ, Ho JE.","J Am Coll Cardiol. 2023 May 9;81(18):1810-1834. doi: 10.1016/j.jacc.2023.01.049. Epub 2023 Apr 19.","Borlaug BA","J Am Coll Cardiol","2023","2023/05/03","","","10.1016/j.jacc.2023.01.049"
"37140514","How to Manage Heart Failure With Preserved Ejection Fraction: Practical Guidance for Clinicians","Desai AS, Lam CSP, McMurray JJV, Redfield MM.","JACC Heart Fail. 2023 Jun;11(6):619-636. doi: 10.1016/j.jchf.2023.03.011. Epub 2023 May 3.","Desai AS","JACC Heart Fail","2023","2023/05/04","","","10.1016/j.jchf.2023.03.011"
"36697141","Worsening Heart Failure: Nomenclature, Epidemiology, and Future Directions: JACC Review Topic of the Week","Greene SJ, Bauersachs J, Brugts JJ, Ezekowitz JA, Lam CSP, Lund LH, Ponikowski P, Voors AA, Zannad F, Zieroth S, Butler J.","J Am Coll Cardiol. 2023 Jan 31;81(4):413-424. doi: 10.1016/j.jacc.2022.11.023.","Greene SJ","J Am Coll Cardiol","2023","2023/01/25","","","10.1016/j.jacc.2022.11.023"
"35777490","Safety outcomes of SGLT2i in the heart failure trials: A systematic review and Meta-analysis","Younes AM, Salem M, Maraey A, Nomigolzar S, Sewell K, Khalil M, Elzanaty A, Saeyeldin A, Dar M.","Int J Cardiol. 2022 Nov 1;366:51-56. doi: 10.1016/j.ijcard.2022.06.059. Epub 2022 Jun 29.","Younes AM","Int J Cardiol","2022","2022/07/01","","","10.1016/j.ijcard.2022.06.059"
"36197543","Heart Failure in Complex Congenital Heart Disease of the Adult","Chaudhry A, Selwyn J, Adams E, Bradley EA.","Curr Cardiol Rep. 2022 Nov;24(11):1727-1735. doi: 10.1007/s11886-022-01788-0. Epub 2022 Oct 5.","Chaudhry A","Curr Cardiol Rep","2022","2022/10/05","PMC9901216","NIHMS1868503","10.1007/s11886-022-01788-0"
"36782248","Heart failure with preserved ejection fraction and atrial fibrillation: recent advances and open questions","Fauchier L, Bisson A, Bodin A.","BMC Med. 2023 Feb 13;21(1):54. doi: 10.1186/s12916-023-02764-3.","Fauchier L","BMC Med","2023","2023/02/14","PMC9926737","","10.1186/s12916-023-02764-3"
"36111511","Heart failure during the COVID-19 pandemic: clinical, diagnostic, management, and organizational dilemmas","Palazzuoli A, Metra M, Collins SP, Adamo M, Ambrosy AP, Antohi LE, Ben Gal T, Farmakis D, Gustafsson F, Hill L, Lopatin Y, Tramonte F, Lyon A, Masip J, Miro O, Moura B, Mullens W, Radu RI, Abdelhamid M, Anker S, Chioncel O.","ESC Heart Fail. 2022 Dec;9(6):3713-3736. doi: 10.1002/ehf2.14118. Epub 2022 Sep 16.","Palazzuoli A","ESC Heart Fail","2022","2022/09/16","PMC9773739","","10.1002/ehf2.14118"
